id,name,host_id,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,country,country_code,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_rate_number,calculated_host_listings_count,availability_365,house_rules,license
1091361,"Private, Large & Sunny 1BR w/W&D",86944769515,confirmed,Aldus,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,,,,,Entire home/apt,2008,244.0,49.0,2,309,6/22/2019,,4.0,2,169,"Please keep cats out of bedrooms and bathroom, by keeping those doors closed.  Don't let cats outside the apartment.  No smoking.  Make sure front door is locked when you come in.",
1091913,Luxurious Condo in DUBMO with View,20270952150,unconfirmed,Edith,Brooklyn,DUMBO,40.70207,-73.98571,United States,US,True,strict,Private room,2016,385.0,77.0,47,14,4/25/2021,,2.0,1,190,"Please care for our home as you would your own. This is not a vacation rental, it is our real home :)  Upon your departure please load and run the dishwasher, and take out your garbage and recycling. Instructions will be provided for you.",
1092466,Charming & Cozy midtown loft any WEEK ENDS  !!!,3310140241,confirmed,Luke,Manhattan,Upper East Side,40.76123,-73.9642,United States,US,False,flexible,Entire home/apt,2021,950.0,190.0,81,4,9/23/2016,,1.0,1,335,Please be respectful.  Keep noise to a minimum after 9pm. No Smoking. No recovering patients from medical procedures. Thanks!,
1093018,* Spacious GARDEN Park Slope Duplex* 6 people max,61571782497,confirmed,Nicole,Brooklyn,Gowanus,40.66858,-73.99083,United States,US,False,strict,Entire home/apt,2021,374.0,75.0,144,80,7/6/2019,,2.0,1,52,"No candles, smoking or flame of any kind is allowed.  No pets and please be sensitive to the environment and our bills by turning off lights, heat and water when not in the apartment.",
1093570,Convenient cozy cheap apt Manhattan,29280666536,unconfirmed,Agata,Manhattan,Harlem,40.82704,-73.94907,United States,US,False,flexible,Entire home/apt,2011,375.0,75.0,371,2,11/2/2015,,4.0,1,70,"You will be sharing a bathroom, so you must be considerate of time spent in the bathroom in the morning when getting ready. If you use the kitchen, please put the dirty cups, bowls, plates, and silverware in the dirty dishes tub, and hand wash all of the pots, pans, and cooking tools you use. Please clean up any mess you may have made. Remember to turn on the fan when using the stove or oven so the fire alarm does not go off from the steam! Please only smoke outside, away from the apartment building, and dispose of your cigarettes responsibly. Checkout: Checkout is at 11:00 am, please inquire if you would like to check out later or leave your bags with us for the day. If we are not awake/home when you leave, please leave the passes on the desk in your room, lock the front door behind you, and put your keys in the lock box behind the front stair case.",
1094122,Parlor Room In Victorian Townhouse,45745264571,Unknown,Heather,Unknown,Clinton Hill,40.68843,-73.96408,United States,US,True,strict,Private room,2004,925.0,185.0,149,294,6/24/2019,,3.0,3,311,,
1118976,Sleek & Comfortable Soho Apt,47502993049,Unknown,Brown,Manhattan,West Village,40.72861,-74.0049,United States,US,False,moderate,Entire home/apt,2006,,48.0,5,129,5/19/2019,,2.0,1,81,,
1119528,Spacious Williamsburg Share w/ LOFT BED,21636248705,confirmed,Perry,Brooklyn,Williamsburg,40.70979,-73.95162,United States,US,False,strict,Private room,2017,131.0,26.0,4,82,6/10/2019,,4.0,2,361,This is our home and we want guests who respect our privacy and the fact that we are two working parents with kids. We can usually be flexible with check-in and check-out times so please let us know if you have any particular needs.,
1139411,A SpeciaL!! Private Room in NY,59031426800,Unknown,Taylor,Staten Island,Tompkinsville,40.63536,-74.08537,United States,US,True,flexible,Private room,2006,725.0,145.0,2,193,,,,6,138,,
1139963,B NYC Staten Alternative...,13992927619,Unknown,Fowler,Staten Island,Tompkinsville,40.63627,-74.08543,United States,US,True,strict,Private room,2017,784.0,157.0,2,147,,,,6,-1,"Rules are detailed in the House Manual, which was emailed to you. There is also a printed copy of the house manual in the condo. Summary: - no guests other than those arranged with host. - no parties. - no smoking. - please be respectful of our neighbors. - please follow the check-out list provided. Failure to follow house rules will result in forfeiture of your security deposit.",
1140516,C Private Room By The Ferry,86997411863,Unknown,Murphy,Staten Island,Tompkinsville,40.63518,-74.08546,United States,US,True,flexible,Private room,2022,593.0,119.0,2,177,,,,6,313,#NAME?,
1141068,Smallest House In The Village,13282897809,Unknown,Rogers,Manhattan,East Village,40.72477,-73.98161,United States,US,True,strict,Entire home/apt,2014,1067.0,213.0,3,185,5/24/2019,,4.0,2,248,,
1141620,Beautiful modern studio apartment in heart of NYC,94532787850,Unknown,Davis,Manhattan,Chelsea,40.74238,-73.99567,United States,US,False,strict,Entire home/apt,2008,794.0,159.0,9,62,6/21/2019,,2.0,2,80,,
1184700,Columbia Castle in Brooklyn Heights,19318123506,unconfirmed,Crawford,Brooklyn,Brooklyn Heights,40.6926,-73.99832,United States,US,False,moderate,Private room,2022,981.0,196.0,,66,9/16/2016,,,2,,,
1185252,Columbia Castle 2 BR,4051354337,unconfirmed,Cole,Brooklyn,Brooklyn Heights,40.69441,-73.99771,United States,US,False,flexible,Entire home/apt,2015,589.0,118.0,,80,6/30/2019,,,2,,"Smoking isn't allowed in the apartment, though you can do it on our back deck. Because this is our primary residence, we would love it if you would treat it as your own!",
38867024,Small studio in the heart of hells kitchen,22325371342,unconfirmed,Micipsa,Manhattan,Hell's Kitchen,40.76366,-73.99096,United States,US,False,strict,Entire home/apt,2003,394.0,79.0,2,65,,,4.0,1,59,,
38867576,Private Bedroom Living Room w/Exposed Brick,30307202742,confirmed,Dominique,Manhattan,East Village,40.7263,-73.98432,United States,US,True,moderate,Private room,2016,471.0,94.0,1,2,,,3.0,2,0,,
51498125,"Attractive Room, Quiet Area . Easy commute Man.",79596009989,unconfirmed,June,Brooklyn,Bath Beach,40.60382,-74.01083,United States,US,True,flexible,Private room,2010,343.0,69.0,4,17,6/7/2019,,1.0,2,17,"I'm looking only for mature guests who would treat my home as you would your own. No smoking and no parties. This is a friendly and quiet neighborhood and the ideal guest will be the same. CHECK-OUT You don't need to clean the house, but anything you can do to make the cleaning person's job more straightforward (like throwing away any perishable food you didn't eat), would be much appreciated! SLEEPING ARRANGEMENTS There are two bedrooms so two couples will fit perfectly. I can accommodate larger groups (up to six), but those people will have to sleep on (very comfy) blow up beds that you put either in the dining room or one of the bedrooms. Sleeping masks advised for anyone who decides to sleep on an air mattress in the dining room.",
51498677,Beautiful Sunlit Retreat in Manhattan,2317212823,unconfirmed,BeautifulHarlem,Manhattan,Harlem,40.81961,-73.94583,United States,US,False,strict,Entire home/apt,2012,268.0,54.0,2,145,,,2.0,2,127,"No pets No Smoking indoors Please be respectful of my neighbors both inside and outside my home. This means limiting noise after hours, avoiding playing loud music, etc. Please clean up and take out the trash when you leave",
51499230,Private  suite,47335669596,confirmed,Irisha,Queens,Fresh Meadows,40.74227,-73.78707,United States,US,True,moderate,Entire home/apt,2008,130.0,26.0,1,26,,,1.0,3,358,"This is our family home, not a rental that we manage, so we expect you to treat it as you would your own home.",
55523287,NY Style by the Metro and St. john's University.,71618038009,confirmed,Natalie,Queens,Jamaica Estates,40.71959,-73.78849,United States,US,False,moderate,Private room,2008,253.0,51.0,1,6,,,3.0,1,65,"1. No damage to the house or furniture 2. No Smoking, No Pets, No Drugs 3. No more sleepover people then you booked 4. Keep quiet after 11:00 PM 5. Be respectful to neighbors 6. Keep the kitchen clean after used 7. Keep the bathroom clean after used 8. Return â€œParking Permit"" before check out 9. Check-in: 3PM, Check-out: 11:00AM",
55523840,Stylish & dreamy brooklyn loft,25233846702,confirmed,Iva,Brooklyn,Bedford-Stuyvesant,40.67895,-73.93641,United States,US,True,moderate,Entire home/apt,2003,308.0,62.0,3,11,,,5.0,2,179,- Please clean tools after you use kitchen - Please keep quite after 11pm,
